EUR/USD,20090601 00:03:56.311,1.41033,1.41041
EUR/USD,20090601 00:03:56.553,1.41032,1.41041
EUR/USD,20090601 00:03:57.264,1.41033,1.41041
EUR/USD,20090601 00:03:57.265,1.4104,1.41041
EUR/USD,20090601 00:03:57.285,1.4104,1.41044
EUR/USD,20090601 00:03:57.286,1.41042,1.41044
EUR/USD,20090601 00:03:57.334,1.41042,1.4105
EUR/USD,20090601 00:03:57.462,1.41042,1.41048
EUR/USD,20090601 00:03:57.791,1.41037,1.41048
EUR/USD,20090601 00:03:57.822,1.41037,1.41049
EUR/USD,20090601 00:03:57.951,1.41037,1.41049
EUR/USD,20090601 00:03:59.444,1.41037,1.41048
EUR/USD,20090601 00:04:06.270,1.41033,1.41048
EUR/USD,20090601 00:04:06.274,1.41033,1.41041
EUR/USD,20090601 00:04:06.801,1.41033,1.4104
EUR/USD,20090601 00:04:07.013,1.41032,1.4104
EUR/USD,20090601 00:04:10.039,1.41027,1.4104
EUR/USD,20090601 00:04:10.047,1.41027,1.41041
EUR/USD,20090601 00:04:10.291,1.41027,1.4104
EUR/USD,20090601 00:04:12.885,1.41027,1.4104
EUR/USD,20090601 00:04:18.012,1.41028,1.41039
EUR/USD,20090601 00:04:18.017,1.41031,1.41039
EUR/USD,20090601 00:04:18.258,1.41031,1.4104
EUR/USD,20090601 00:04:18.451,1.41031,1.41039
EUR/USD,20090601 00:04:19.586,1.41031,1.4104
EUR/USD,20090601 00:04:20.799,1.41031,1.41039
EUR/USD,20090601 00:04:27.308,1.41031,1.4104
EUR/USD,20090601 00:04:46.516,1.41033,1.41038
EUR/USD,20090601 00:05:09.511,1.41031,1.4104
EUR/USD,20090601 00:05:09.523,1.41025,1.4104
EUR/USD,20090601 00:05:10.072,1.41025,1.4104
EUR/USD,20090601 00:05:14.334,1.41026,1.4104
EUR/USD,20090601 00:05:15.469,1.41029,1.4104
EUR/USD,20090601 00:05:15.509,1.41033,1.41039
EUR/USD,20090601 00:05:15.510,1.4103,1.4104
EUR/USD,20090601 00:05:21.763,1.41027,1.4104
EUR/USD,20090601 00:05:21.808,1.41025,1.4104
EUR/USD,20090601 00:05:26.233,1.41025,1.41043
EUR/USD,20090601 00:05:29.268,1.41025,1.41041
EUR/USD,20090601 00:05:29.374,1.41025,1.41042
EUR/USD,20090601 00:05:32.512,1.41025,1.4104
EUR/USD,20090601 00:05:34.955,1.41025,1.41039
EUR/USD,20090601 00:05:36.485,1.41025,1.41038
EUR/USD,20090601 00:05:40.598,1.41025,1.41037
EUR/USD,20090601 00:05:40.820,1.41025,1.41038
EUR/USD,20090601 00:05:40.960,1.41025,1.41037
EUR/USD,20090601 00:05:41.015,1.41025,1.41036
EUR/USD,20090601 00:05:41.263,1.41028,1.41036
EUR/USD,20090601 00:05:41.274,1.41032,1.41036
EUR/USD,20090601 00:05:41.349,1.41032,1.41038
EUR/USD,20090601 00:05:41.455,1.41032,1.41036
EUR/USD,20090601 00:05:41.799,1.41027,1.41036
EUR/USD,20090601 00:05:41.859,1.41027,1.41037
EUR/USD,20090601 00:05:42.900,1.41027,1.41036
EUR/USD,20090601 00:05:43.302,1.41027,1.41037
EUR/USD,20090601 00:05:43.341,1.41027,1.41036
EUR/USD,20090601 00:05:44.447,1.41027,1.41037
EUR/USD,20090601 00:05:44.945,1.41027,1.41036
EUR/USD,20090601 00:05:45.038,1.41022,1.41036
EUR/USD,20090601 00:05:45.086,1.41022,1.41036
EUR/USD,20090601 00:05:45.306,1.41022,1.41034
EUR/USD,20090601 00:05:45.557,1.41022,1.41035
EUR/USD,20090601 00:05:46.764,1.41022,1.41031
EUR/USD,20090601 00:05:46.777,1.41017,1.41031
EUR/USD,20090601 00:05:46.819,1.41017,1.41028
EUR/USD,20090601 00:05:46.956,1.41017,1.4103
EUR/USD,20090601 00:05:48.445,1.41017,1.41029
EUR/USD,20090601 00:05:50.027,1.41015,1.41029
EUR/USD,20090601 00:05:50.946,1.41015,1.41027
EUR/USD,20090601 00:05:51.296,1.41015,1.41028
EUR/USD,20090601 00:05:53.017,1.41013,1.41028
EUR/USD,20090601 00:05:53.018,1.4101,1.41028
EUR/USD,20090601 00:05:53.030,1.4101,1.41019
EUR/USD,20090601 00:05:53.951,1.4101,1.41018
EUR/USD,20090601 00:05:54.320,1.4101,1.41019
EUR/USD,20090601 00:05:54.487,1.4101,1.41019
EUR/USD,20090601 00:05:55.049,1.4101,1.41018
EUR/USD,20090601 00:05:55.126,1.4101,1.41019
EUR/USD,20090601 00:05:55.265,1.4101,1.41019
EUR/USD,20090601 00:05:55.296,1.41005,1.41009
EUR/USD,20090601 00:05:55.399,1.41,1.41009
EUR/USD,20090601 00:06:00.526,1.41001,1.41009
EUR/USD,20090601 00:06:01.072,1.41,1.41009
EUR/USD,20090601 00:06:02.515,1.41005,1.41009
EUR/USD,20090601 00:06:02.516,1.41007,1.41009
